Results - Estimator for roll and pitch angles

Data format:
Timestamp [s]:  Roll [deg]   ,   Pitch [deg]
56.311 s:       -179.013     ,     -1.509
56.321 s:       -178.511     ,     -1.661
56.331 s:       -178.737     ,     -1.549
56.341 s:       -178.836     ,     -1.455
56.351 s:       -179.016     ,     -1.215
56.361 s:       -178.726     ,     -1.332
56.371 s:       -178.449     ,     -1.321
56.381 s:       -178.551     ,     -1.449
56.391 s:       -178.889     ,     -1.344
56.401 s:       -178.837     ,     -1.802
56.411 s:       -179.194     ,     -1.842
56.421 s:       -178.676     ,     -1.381
56.431 s:       -178.614     ,     -1.443
56.441 s:       -178.491     ,     -1.276
56.451 s:       -178.955     ,     -1.451
56.461 s:       -178.788     ,     -1.557
56.471 s:       -178.842     ,     -1.274
56.481 s:       -178.660     ,     -1.282
56.491 s:       -178.485     ,     -1.398
56.501 s:       -178.727     ,     -1.273
56.511 s:       -178.906     ,     -1.439
56.521 s:       -178.847     ,     -1.613
56.531 s:       -178.721     ,     -1.628
56.541 s:       -178.658     ,     -1.749
56.551 s:       -179.020     ,     -1.556
56.561 s:       -178.846     ,     -1.557
56.571 s:       -178.902     ,     -1.503
56.581 s:       -178.776     ,     -1.515
56.591 s:       -179.069     ,     -1.279
56.601 s:       -179.021     ,     -1.554
56.611 s:       -178.622     ,     -1.549
56.621 s:       -178.497     ,     -1.445
56.631 s:       -178.488     ,     -1.511
56.641 s:       -178.897     ,     -1.625
56.651 s:       -178.839     ,     -1.393
56.661 s:       -178.963     ,     -1.325
56.671 s:       -178.902     ,     -1.560
56.681 s:       -178.431     ,     -1.336
56.691 s:       -179.014     ,     -1.565
56.701 s:       -178.785     ,     -1.388
56.711 s:       -178.964     ,     -1.554
56.721 s:       -178.676     ,     -1.439
56.731 s:       -178.502     ,     -1.440
56.741 s:       -178.669     ,     -1.446
56.751 s:       -178.669     ,     -1.504
56.761 s:       -178.962     ,     -1.500
56.771 s:       -178.786     ,     -1.503
56.781 s:       -178.546     ,     -1.512
